id,name,slug,is_show,my_order,created_at,updated_at
2,РОЛИ,rols,1,1,2018-04-01 15:29:48,2018-06-06 20:27:35
4,ГАРЯЧІ РОЛИ,hot-rols,1,2,2018-04-01 15:31:25,2018-06-06 20:27:35
12,НАБОРИ,sets,1,3,2018-04-17 12:50:07,2018-06-06 20:27:35
7,ПІЦА  32 см,pizza-32,1,4,2018-04-01 15:32:57,2018-06-06 20:27:35
8,ПІЦА 50 см,pizza-50,1,5,2018-04-01 15:33:16,2018-06-06 20:27:35
5,Супи і салати,soups-and-salads,1,6,2018-04-01 15:32:03,2018-06-06 20:27:35
3,СУШІ,sushi,1,7,2018-04-01 15:30:15,2018-06-06 20:27:35
10,НАПОЇ,drinks,1,8,2018-04-01 15:34:21,2018-06-06 20:27:35
11,Пропозиції,propositions,0,10,2018-04-11 19:30:29,2018-06-06 20:27:35
14,ДОДАТКИ,Долатки,1,11,2018-04-26 14:04:28,2018-06-06 20:27:35
13,НОВИНКИ,news,1,12,2018-04-21 14:59:29,2018-06-06 20:27:35
